GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Dependent Tasks Executor Core,com.github.dexecutor.core,Duration,0,22,0,0,0,7,0,4,0,4
Dependent Tasks Executor Core,com.github.dexecutor.core,QuiteExecutionListener,0,5,0,0,0,3,0,3,0,3
Dependent Tasks Executor Core,com.github.dexecutor.core,DefaultExecutionEngine,91,0,4,0,25,0,12,0,10,0
Dependent Tasks Executor Core,com.github.dexecutor.core,Phase,9,39,0,0,0,2,2,2,2,2
Dependent Tasks Executor Core,com.github.dexecutor.core,DefaultExecutionEngine.new Callable() {...},65,0,0,0,14,0,2,0,2,0
Dependent Tasks Executor Core,com.github.dexecutor.core,DefaultDexecutor,673,0,70,0,168,0,68,0,33,0
Dependent Tasks Executor Core,com.github.dexecutor.core,ExecutionBehavior,9,49,0,0,0,2,2,2,2,2
Dependent Tasks Executor Core,com.github.dexecutor.core,DefaultDexecutor.new Runnable() {...},16,0,0,0,4,0,2,0,2,0
Dependent Tasks Executor Core,com.github.dexecutor.core,DefaultDexecutorState,0,213,1,11,0,60,1,38,0,33
Dependent Tasks Executor Core,com.github.dexecutor.core,DexecutorConfig,7,139,2,0,3,41,2,15,1,15
Dependent Tasks Executor Core,com.github.dexecutor.core,ExecutionConfig,1,114,2,6,0,28,2,17,0,15
Dependent Tasks Executor Core,com.github.dexecutor.core.support,ThreadPoolUtil,0,21,0,0,0,7,0,3,0,3
Dependent Tasks Executor Core,com.github.dexecutor.core.support,Preconditions,0,20,0,4,0,8,0,5,0,3
Dependent Tasks Executor Core,com.github.dexecutor.core.graph,LevelOrderTraversar,0,29,0,2,0,9,0,3,0,2
Dependent Tasks Executor Core,com.github.dexecutor.core.graph,CyclicValidator,0,103,0,8,0,23,0,11,0,7
Dependent Tasks Executor Core,com.github.dexecutor.core.graph,StringTraversarAction,0,33,0,0,0,9,0,4,0,4
Dependent Tasks Executor Core,com.github.dexecutor.core.graph,BaseTraversar,0,183,4,24,0,43,4,16,0,6
Dependent Tasks Executor Core,com.github.dexecutor.core.graph,Node.NodeStatus,9,39,0,0,0,2,2,2,2,2
Dependent Tasks Executor Core,com.github.dexecutor.core.graph,MergedLevelOrderTraversar,0,64,0,6,0,14,0,6,0,3
Dependent Tasks Executor Core,com.github.dexecutor.core.graph,Node,2,136,2,10,0,40,2,25,0,21
Dependent Tasks Executor Core,com.github.dexecutor.core.graph,DefaultDag,0,263,0,32,0,64,0,32,0,16
Dependent Tasks Executor Core,com.github.dexecutor.core.task,TaskExecutionException,0,9,0,0,0,4,0,2,0,2
Dependent Tasks Executor Core,com.github.dexecutor.core.task,AbstractDelegatingTask,0,32,0,0,0,11,0,7,0,7
Dependent Tasks Executor Core,com.github.dexecutor.core.task,ExecutionResults,0,66,0,8,0,19,0,11,0,7
Dependent Tasks Executor Core,com.github.dexecutor.core.task,Task,0,22,0,0,0,9,0,6,0,6
Dependent Tasks Executor Core,com.github.dexecutor.core.task,ExecutionStatus,9,39,0,0,0,2,2,2,2,2
Dependent Tasks Executor Core,com.github.dexecutor.core.task,LoggerTask,0,26,0,0,0,8,0,3,0,3
Dependent Tasks Executor Core,com.github.dexecutor.core.task,TaskFactory,0,8,0,0,0,2,0,2,0,2
Dependent Tasks Executor Core,com.github.dexecutor.core.task,ExecutionResult,33,126,8,6,10,30,8,15,2,14
